layers,transform,distribution,metric,mean_monotonicity,mono_blur,mono_blur_contrast,mono_noise,mono_aliasing
single_layer_9,gram_pca,gmm_diag,fid,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_9,gram_pca,gmm_diag,cmmd,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_9,gram_pca,gmm_full,fid,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_9,gram_pca,gmm_full,cmmd,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_10,gram_pca,gmm_diag,fid,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_10,gram_pca,gmm_diag,cmmd,0.9940789256927429,1.0,1.0,0.9929823694376383,0.9833333333333333
single_layer_10,gram_pca,gmm_full,fid,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_10,gram_pca,gmm_full,cmmd,0.9940789256927429,1.0,1.0,0.9929823694376383,0.9833333333333333
single_layer_11,gram_pca,gmm_diag,fid,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_11,gram_pca,gmm_diag,cmmd,0.9940789256927429,1.0,1.0,0.9929823694376383,0.9833333333333333
single_layer_11,gram_pca,gmm_full,fid,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_11,gram_pca,gmm_full,cmmd,0.9940789256927429,1.0,1.0,0.9929823694376383,0.9833333333333333
single_layer_12,gram_pca,gmm_diag,fid,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_12,gram_pca,gmm_diag,cmmd,0.9953958876788692,1.0,1.0,0.9982502173821435,0.9833333333333333
single_layer_12,gram_pca,gmm_full,fid,0.9958333333333333,1.0,1.0,1.0,0.9833333333333333
single_layer_12,gram_pca,gmm_full,cmmd,0.9953958876788692,1.0,1.0,0.9982502173821435,0.9833333333333333
aggregated_11_to_15,gram_pca,gmm_diag,fid,-0.028021978021978023,0.30000000000000004,-0.5428571428571429,0.23076923076923078,-0.09999999999999999
aggregated_11_to_15,gram_pca,gmm_diag,cmmd,0.16747002997002997,0.0,-0.08571428571428573,0.4055944055944056,0.35
aggregated_11_to_15,gram_pca,gmm_full,fid,-0.028021978021978023,0.30000000000000004,-0.5428571428571429,0.23076923076923078,-0.09999999999999999
aggregated_11_to_15,gram_pca,gmm_full,cmmd,0.16747002997002997,0.0,-0.08571428571428573,0.4055944055944056,0.35
