layers,transform,distribution,metric,mean_monotonicity,mono_blur,mono_blur_contrast,mono_noise,mono_aliasing
single_layer_7,gram_pca,gmm_diag,fid,0.9032242167811959,0.9510759457296009,0.8451542547285166,1.0,0.8166666666666667
single_layer_7,gram_pca,gmm_diag,cmmd,0.9109912165653651,0.9510759457296009,0.8451542547285166,0.9644013324700096,0.8833333333333333
single_layer_7,gram_pca,gmm_full,fid,0.9032242167811959,0.9510759457296009,0.8451542547285166,1.0,0.8166666666666667
single_layer_7,gram_pca,gmm_full,cmmd,0.9109912165653651,0.9510759457296009,0.8451542547285166,0.9644013324700096,0.8833333333333333
single_layer_8,gram_pca,gmm_diag,fid,0.918142631699611,0.9510759457296009,0.8451542547285166,0.9930069930069931,0.8833333333333333
single_layer_8,gram_pca,gmm_diag,cmmd,0.9181364758072722,0.9510759457296009,0.8451542547285166,0.9929823694376383,0.8833333333333333
single_layer_8,gram_pca,gmm_full,fid,0.918142631699611,0.9510759457296009,0.8451542547285166,0.9930069930069931,0.8833333333333333
single_layer_8,gram_pca,gmm_full,cmmd,0.9181364758072722,0.9510759457296009,0.8451542547285166,0.9929823694376383,0.8833333333333333
single_layer_9,gram_pca,gmm_diag,fid,0.9198908834478626,0.9510759457296009,0.8451542547285166,1.0,0.8833333333333333
single_layer_9,gram_pca,gmm_diag,cmmd,0.9181364758072722,0.9510759457296009,0.8451542547285166,0.9929823694376383,0.8833333333333333
single_layer_9,gram_pca,gmm_full,fid,0.9198908834478626,0.9510759457296009,0.8451542547285166,1.0,0.8833333333333333
single_layer_9,gram_pca,gmm_full,cmmd,0.9181364758072722,0.9510759457296009,0.8451542547285166,0.9929823694376383,0.8833333333333333
single_layer_10,gram_pca,gmm_diag,fid,0.918142631699611,0.9510759457296009,0.8451542547285166,0.9930069930069931,0.8833333333333333
single_layer_10,gram_pca,gmm_diag,cmmd,0.8866803556570122,0.9510759457296009,0.8451542547285166,0.9368150178249588,0.8136762043449725
single_layer_10,gram_pca,gmm_full,fid,0.918142631699611,0.9510759457296009,0.8451542547285166,0.9930069930069931,0.8833333333333333
single_layer_10,gram_pca,gmm_full,cmmd,0.8866803556570122,0.9510759457296009,0.8451542547285166,0.9368150178249588,0.8136762043449725
aggregated_8_to_10,gram_pca,gmm_diag,fid,0.9032242167811959,0.9510759457296009,0.8451542547285166,1.0,0.8166666666666667
aggregated_8_to_10,gram_pca,gmm_diag,cmmd,0.8220949181560777,0.9510759457296009,0.8451542547285166,0.7618527288259722,0.7302967433402214
aggregated_8_to_10,gram_pca,gmm_full,fid,0.9032242167811959,0.9510759457296009,0.8451542547285166,1.0,0.8166666666666667
aggregated_8_to_10,gram_pca,gmm_full,cmmd,0.8220949181560777,0.9510759457296009,0.8451542547285166,0.7618527288259722,0.7302967433402214
